182029.000000,39.020401,-77.427231
182034.000000,39.020397,-77.427231
182100.000000,39.020416,-77.427216,81.599998
182106.000000,39.020420,-77.427216,80.800003
182113.000000,39.020420,-77.427216,79.199997
182119.000000,39.020409,-77.427223,79.199997
182119.000000,39.020409,-77.427223,79.199997
182119.000000,39.020409,-77.427223,79.199997
182138.000000,39.020378,-77.427231,82.300003
182144.000000,39.020355,-77.427238,84.599998
182144.000000,39.020355,-77.427238,84.599998
182144.000000,39.020355,-77.427238,84.599998
182237.000000,39.020264,-77.427277,93.400002
182237.000000,39.020264,-77.427277,93.400002
182239.000000,39.020260,-77.427277,92.900002
182239.000000,39.020260,-77.427277,92.900002
182240.000000,39.020260,-77.427277,92.699997
182240.000000,39.020260,-77.427277,92.699997
182240.000000,39.020260,-77.427277,92.699997
182242.000000,39.020256,-77.427284,92.199997
182242.000000,39.020256,-77.427284,92.199997
182243.000000,39.020252,-77.427284,91.699997
